t,K,Z
0.787,1.44818,0.593251
0.788,1.44877,0.593517
0.789,1.44935,0.593784
0.79,1.44994,0.59405
0.791,1.45053,0.594318
0.792,1.45112,0.594585
0.793,1.45171,0.594854
0.794,1.4523,0.595122
0.795,1.45289,0.595392
0.796,1.45347,0.595661
0.797,1.45406,0.595931
0.798,1.45465,0.596202
0.799,1.45524,0.596473
0.8,1.45582,0.596745
0.801,1.45641,0.597017
0.802,1.457,0.597289
0.803,1.45758,0.597562
0.804,1.45817,0.597835
0.805,1.45876,0.598109
0.806,1.45934,0.598384
0.807,1.45993,0.598659
0.808,1.46051,0.598934
0.809,1.4611,0.59921
0.81,1.46169,0.599486
0.811,1.46227,0.599763
0.812,1.46286,0.60004
0.813,1.46344,0.600318
0.814,1.46403,0.600596
0.815,1.46461,0.600875
0.816,1.4652,0.601154
0.817,1.46578,0.601433
0.818,1.46636,0.601714
0.819,1.46695,0.601994
0.82,1.46753,0.602275
0.821,1.46812,0.602557
0.822,1.4687,0.602839
0.823,1.46928,0.603122
0.824,1.46987,0.603405
0.825,1.47045,0.603688
0.826,1.47103,0.603972
0.827,1.47161,0.604257
0.828,1.4722,0.604542
0.829,1.47278,0.604827
0.83,1.47336,0.605113
0.831,1.47394,0.605399
0.832,1.47452,0.605686
0.833,1.47511,0.605974
0.834,1.47569,0.606262
0.835,1.47627,0.60655
0.836,1.47685,0.606839
0.837,1.47743,0.607128
0.838,1.47801,0.607418
0.839,1.47859,0.607709
0.84,1.47917,0.607999
0.841,1.47975,0.608291
0.842,1.48033,0.608583
0.843,1.48091,0.608875
0.844,1.48149,0.609168
0.845,1.48207,0.609461
0.846,1.48265,0.609755
0.847,1.48322,0.610049
0.848,1.4838,0.610344
0.849,1.48438,0.610639
0.85,1.48496,0.610935
0.851,1.48554,0.611231
0.852,1.48611,0.611528
0.853,1.48669,0.611825
0.854,1.48727,0.612123
0.855,1.48785,0.612421
0.856,1.48842,0.61272
0.857,1.489,0.613019
0.858,1.48958,0.613319
0.859,1.49015,0.613619
0.86,1.49073,0.61392
0.861,1.4913,0.614221
0.862,1.49188,0.614523
0.863,1.49245,0.614825
0.864,1.49303,0.615128
0.865,1.4936,0.615431
0.866,1.49418,0.615735
0.867,1.49475,0.61604
0.868,1.49532,0.616344
0.869,1.4959,0.61665
0.87,1.49647,0.616955
0.871,1.49705,0.617262
0.872,1.49762,0.617569
0.873,1.49819,0.617876
0.874,1.49876,0.618184
0.875,1.49934,0.618492
0.876,1.49991,0.618801
0.877,1.50048,0.61911
0.878,1.50105,0.61942
0.879,1.50162,0.61973
0.88,1.50219,0.620041
0.881,1.50276,0.620353
0.882,1.50333,0.620665
0.883,1.5039,0.620977
0.884,1.50447,0.62129
0.885,1.50504,0.621603
0.886,1.50561,0.621917
0.887,1.50618,0.622232
0.888,1.50675,0.622547
0.889,1.50732,0.622862
0.89,1.50789,0.623178
0.891,1.50846,0.623495
0.892,1.50903,0.623812
0.893,1.50959,0.624129
0.894,1.51016,0.624447
0.895,1.51073,0.624766
0.896,1.51129,0.625085
0.897,1.51186,0.625404
0.898,1.51243,0.625725
0.899,1.51299,0.626045
0.9,1.51356,0.626366
0.901,1.51413,0.626688
0.902,1.51469,0.62701
0.903,1.51526,0.627333
0.904,1.51582,0.627656
0.905,1.51638,0.62798
0.906,1.51695,0.628304
0.907,1.51751,0.628629
0.908,1.51808,0.628954
0.909,1.51864,0.62928
0.91,1.5192,0.629607
0.911,1.51976,0.629933
0.912,1.52033,0.630261
0.913,1.52089,0.630589
0.914,1.52145,0.630917
0.915,1.52201,0.631246
0.916,1.52257,0.631576
0.917,1.52314,0.631906
0.918,1.5237,0.632236
0.919,1.52426,0.632568
0.92,1.52482,0.632899
0.921,1.52538,0.633231
0.922,1.52594,0.633564
0.923,1.52649,0.633897
0.924,1.52705,0.634231
0.925,1.52761,0.634565
0.926,1.52817,0.6349
0.927,1.52873,0.635235
0.928,1.52929,0.635571
0.929,1.52984,0.635908
0.93,1.5304,0.636245
0.931,1.53096,0.636582
0.932,1.53151,0.63692
0.933,1.53207,0.637259
0.934,1.53262,0.637598
0.935,1.53318,0.637937
0.936,1.53374,0.638277
0.937,1.53429,0.638618
0.938,1.53484,0.638959
0.939,1.5354,0.639301
0.94,1.53595,0.639643
0.941,1.53651,0.639986
0.942,1.53706,0.640329
0.943,1.53761,0.640673
0.944,1.53816,0.641018
0.945,1.53872,0.641363
0.946,1.53927,0.641708
0.947,1.53982,0.642054
0.948,1.54037,0.642401
0.949,1.54092,0.642748
0.95,1.54147,0.643096
0.951,1.54202,0.643444
0.952,1.54257,0.643793
0.953,1.54312,0.644142
0.954,1.54367,0.644492
0.955,1.54422,0.644842
0.956,1.54477,0.645193
0.957,1.54532,0.645545
0.958,1.54586,0.645897
0.959,1.54641,0.646249
0.96,1.54696,0.646602
0.961,1.54751,0.646956
0.962,1.54805,0.64731
0.963,1.5486,0.647665
0.964,1.54914,0.64802
0.965,1.54969,0.648376
0.966,1.55023,0.648733
0.967,1.55078,0.64909
0.968,1.55132,0.649447
0.969,1.55187,0.649805
0.97,1.55241,0.650164
0.971,1.55295,0.650523
0.972,1.5535,0.650883
0.973,1.55404,0.651243
0.974,1.55458,0.651604
0.975,1.55512,0.651965
0.976,1.55566,0.652327
0.977,1.5562,0.652689
0.978,1.55674,0.653052
0.979,1.55728,0.653416
0.98,1.55782,0.65378
0.981,1.55836,0.654145
0.982,1.5589,0.65451
0.983,1.55944,0.654876
0.984,1.55998,0.655242
0.985,1.56052,0.655609
0.986,1.56105,0.655977
0.987,1.56159,0.656345
0.988,1.56213,0.656713
0.989,1.56266,0.657082
0.99,1.5632,0.657452
0.991,1.56374,0.657822
0.992,1.56427,0.658193
0.993,1.56481,0.658565
0.994,1.56534,0.658937
0.995,1.56587,0.659309
0.996,1.56641,0.659682
0.997,1.56694,0.660056
