t,K,Z
7.07,1.96775,0.98039
7.08,1.96804,0.980283
7.09,1.96833,0.980179
7.1,1.96863,0.980077
7.11,1.96893,0.979977
7.12,1.96923,0.97988
7.13,1.96953,0.979785
7.14,1.96984,0.979693
7.15,1.97014,0.979603
7.16,1.97045,0.979515
7.17,1.97076,0.97943
7.18,1.97107,0.979347
7.19,1.97139,0.979267
7.2,1.9717,0.979188
7.21,1.97202,0.979112
7.22,1.97234,0.979039
7.23,1.97266,0.978967
7.24,1.97298,0.978898
7.25,1.9733,0.978831
7.26,1.97362,0.978766
7.27,1.97395,0.978704
7.28,1.97427,0.978643
7.29,1.9746,0.978585
7.3,1.97493,0.978529
7.31,1.97526,0.978475
7.32,1.97559,0.978423
7.33,1.97592,0.978374
7.34,1.97626,0.978326
7.35,1.97659,0.978281
7.36,1.97693,0.978237
7.37,1.97726,0.978196
7.38,1.9776,0.978156
7.39,1.97794,0.978119
7.4,1.97827,0.978083
7.41,1.97861,0.97805
7.42,1.97895,0.978019
7.43,1.97929,0.977989
7.44,1.97963,0.977961
7.45,1.97998,0.977936
7.46,1.98032,0.977912
7.47,1.98066,0.97789
7.48,1.981,0.97787
7.49,1.98135,0.977852
7.5,1.98169,0.977835
7.51,1.98203,0.977821
7.52,1.98238,0.977808
7.53,1.98272,0.977797
7.54,1.98307,0.977788
7.55,1.98341,0.97778
7.56,1.98376,0.977775
7.57,1.9841,0.977771
7.58,1.98445,0.977768
7.59,1.9848,0.977768
7.6,1.98514,0.977769
7.61,1.98549,0.977772
7.62,1.98583,0.977776
7.63,1.98618,0.977782
7.64,1.98652,0.977789
7.65,1.98687,0.977799
7.66,1.98721,0.977809
7.67,1.98756,0.977822
7.68,1.9879,0.977835
7.69,1.98825,0.977851
7.7,1.98859,0.977868
7.71,1.98894,0.977886
7.72,1.98928,0.977906
7.73,1.98962,0.977927
7.74,1.98997,0.97795
7.75,1.99031,0.977974
7.76,1.99065,0.977999
7.77,1.99099,0.978026
7.78,1.99133,0.978054
7.79,1.99168,0.978084
7.8,1.99202,0.978115
7.81,1.99235,0.978147
7.82,1.99269,0.978181
7.83,1.99303,0.978216
7.84,1.99337,0.978252
7.85,1.99371,0.97829
7.86,1.99404,0.978328
7.87,1.99438,0.978368
7.88,1.99471,0.978409
7.89,1.99504,0.978452
7.9,1.99538,0.978495
7.91,1.99571,0.97854
7.92,1.99604,0.978586
7.93,1.99637,0.978633
7.94,1.9967,0.978681
7.95,1.99703,0.97873
7.96,1.99736,0.97878
7.97,1.99768,0.978832
7.98,1.99801,0.978884
7.99,1.99833,0.978938
8,1.99866,0.978992
8.01,1.99898,0.979048
8.02,1.9993,0.979104
8.03,1.99962,0.979162
8.04,1.99994,0.97922
8.05,2.00025,0.97928
8.06,2.00057,0.97934
8.07,2.00089,0.979401
8.08,2.0012,0.979464
8.09,2.00151,0.979527
8.1,2.00183,0.979591
8.11,2.00214,0.979656
8.12,2.00244,0.979721
8.13,2.00275,0.979788
8.14,2.00306,0.979855
8.15,2.00336,0.979923
8.16,2.00367,0.979992
8.17,2.00397,0.980062
8.18,2.00427,0.980132
8.19,2.00457,0.980203
8.2,2.00487,0.980275
8.21,2.00517,0.980348
8.22,2.00546,0.980421
8.23,2.00575,0.980495
8.24,2.00605,0.98057
8.25,2.00634,0.980645
8.26,2.00663,0.980721
8.27,2.00692,0.980798
8.28,2.0072,0.980875
8.29,2.00749,0.980953
8.3,2.00777,0.981032
8.31,2.00805,0.981111
8.32,2.00833,0.98119
8.33,2.00861,0.98127
8.34,2.00889,0.981351
8.35,2.00916,0.981432
8.36,2.00943,0.981514
8.37,2.00971,0.981596
8.38,2.00998,0.981679
8.39,2.01025,0.981762
8.4,2.01051,0.981846
8.41,2.01078,0.98193
8.42,2.01104,0.982014
8.43,2.0113,0.982099
8.44,2.01156,0.982185
8.45,2.01182,0.98227
8.46,2.01208,0.982357
8.47,2.01233,0.982443
8.48,2.01259,0.98253
8.49,2.01284,0.982617
8.5,2.01309,0.982705
8.51,2.01334,0.982793
8.52,2.01358,0.982881
8.53,2.01383,0.982969
8.54,2.01407,0.983058
8.55,2.01431,0.983147
8.56,2.01455,0.983236
8.57,2.01479,0.983326
8.58,2.01502,0.983416
8.59,2.01526,0.983506
8.6,2.01549,0.983596
8.61,2.01572,0.983687
8.62,2.01595,0.983777
8.63,2.01617,0.983868
8.64,2.0164,0.983959
8.65,2.01662,0.98405
8.66,2.01684,0.984142
8.67,2.01706,0.984233
8.68,2.01728,0.984325
8.69,2.01749,0.984417
8.7,2.0177,0.984508
8.71,2.01792,0.9846
8.72,2.01813,0.984693
8.73,2.01833,0.984785
8.74,2.01854,0.984877
8.75,2.01874,0.984969
8.76,2.01895,0.985061
8.77,2.01915,0.985154
8.78,2.01934,0.985246
8.79,2.01954,0.985339
8.8,2.01974,0.985431
8.81,2.01993,0.985524
8.82,2.02012,0.985616
8.83,2.02031,0.985708
8.84,2.0205,0.985801
8.85,2.02068,0.985893
8.86,2.02086,0.985985
8.87,2.02105,0.986078
8.88,2.02122,0.98617
8.89,2.0214,0.986262
8.9,2.02158,0.986354
8.91,2.02175,0.986446
8.92,2.02192,0.986538
8.93,2.0221,0.98663
8.94,2.02226,0.986722
8.95,2.02243,0.986813
8.96,2.02259,0.986905
8.97,2.02276,0.986996
8.98,2.02292,0.987087
8.99,2.02308,0.987178
9,2.02323,0.987269
9.01,2.02339,0.98736
9.02,2.02354,0.98745
9.03,2.0237,0.987541
9.04,2.02385,0.987631
9.05,2.02399,0.987721
9.06,2.02414,0.987811
9.07,2.02428,0.9879
9.08,2.02443,0.98799
9.09,2.02457,0.988079
9.1,2.02471,0.988168
9.11,2.02484,0.988256
9.12,2.02498,0.988345
9.13,2.02511,0.988433
9.14,2.02524,0.988521
9.15,2.02537,0.988609
9.16,2.0255,0.988696
9.17,2.02563,0.988783
9.18,2.02575,0.98887
9.19,2.02587,0.988957
9.2,2.026,0.989043
9.21,2.02611,0.989129
9.22,2.02623,0.989215
9.23,2.02635,0.9893
9.24,2.02646,0.989385
9.25,2.02657,0.98947
9.26,2.02668,0.989554
9.27,2.02679,0.989639
9.28,2.0269,0.989722
9.29,2.02701,0.989806
9.3,2.02711,0.989889
9.31,2.02721,0.989972
9.32,2.02731,0.990054
9.33,2.02741,0.990136
9.34,2.02751,0.990218
9.35,2.0276,0.990299
9.36,2.0277,0.99038
9.37,2.02779,0.990461
9.38,2.02788,0.990541
9.39,2.02797,0.990621
9.4,2.02805,0.9907
9.41,2.02814,0.990779
9.42,2.02822,0.990858
9.43,2.0283,0.990936
9.44,2.02838,0.991014
9.45,2.02846,0.991092
9.46,2.02854,0.991169
9.47,2.02862,0.991245
9.48,2.02869,0.991321
9.49,2.02876,0.991397
9.5,2.02883,0.991473
9.51,2.0289,0.991547
9.52,2.02897,0.991622
9.53,2.02904,0.991696
9.54,2.0291,0.99177
9.55,2.02917,0.991843
9.56,2.02923,0.991916
9.57,2.02929,0.991988
9.58,2.02935,0.99206
9.59,2.02941,0.992131
9.6,2.02946,0.992202
9.61,2.02952,0.992273
9.62,2.02957,0.992343
9.63,2.02962,0.992412
9.64,2.02967,0.992481
9.65,2.02972,0.99255
9.66,2.02977,0.992618
9.67,2.02981,0.992686
9.68,2.02986,0.992753
9.69,2.0299,0.99282
9.7,2.02994,0.992886
9.71,2.02998,0.992952
9.72,2.03002,0.993018
9.73,2.03006,0.993082
9.74,2.0301,0.993147
9.75,2.03013,0.993211
9.76,2.03017,0.993274
9.77,2.0302,0.993337
9.78,2.03023,0.9934
9.79,2.03026,0.993462
9.8,2.03029,0.993523
9.81,2.03032,0.993584
9.82,2.03034,0.993645
9.83,2.03037,0.993705
9.84,2.03039,0.993764
9.85,2.03042,0.993823
