q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 2.060000 , x = [3.773585   , 0.354599   , -0.350649   , 2.877476   , -2.969517   ]
q = 2.070000 , x = [3.738318   , 0.364077   , -0.353183   , 2.857418   , -2.943838   ]
q = 2.080000 , x = [3.703704   , 0.373380   , -0.355671   , 2.837731   , -2.918634   ]
q = 2.090000 , x = [3.669725   , 0.382511   , -0.358114   , 2.818406   , -2.893893   ]
q = 2.100000 , x = [3.636364   , 0.391477   , -0.360511   , 2.799432   , -2.869602   ]
q = 2.110000 , x = [3.603604   , 0.400282   , -0.362866   , 2.780800   , -2.845749   ]
q = 2.120000 , x = [3.571429   , 0.408929   , -0.365179   , 2.762500   , -2.822321   ]
q = 2.130000 , x = [3.539823   , 0.417423   , -0.367450   , 2.744524   , -2.799309   ]
q = 2.140000 , x = [3.508772   , 0.425768   , -0.369682   , 2.726864   , -2.776700   ]
q = 2.150000 , x = [3.478261   , 0.433967   , -0.371875   , 2.709511   , -2.754484   ]
q = 2.160000 , x = [3.448276   , 0.442026   , -0.374030   , 2.692457   , -2.732651   ]
q = 2.170000 , x = [3.418803   , 0.449947   , -0.376149   , 2.675694   , -2.711191   ]
q = 2.180000 , x = [3.389831   , 0.457733   , -0.378231   , 2.659216   , -2.690095   ]
q = 2.190000 , x = [3.361345   , 0.465389   , -0.380278   , 2.643015   , -2.669354   ]
q = 2.200000 , x = [3.333333   , 0.472917   , -0.382292   , 2.627083   , -2.648958   ]
q = 2.210000 , x = [3.305785   , 0.480320   , -0.384272   , 2.611415   , -2.628900   ]
q = 2.220000 , x = [3.278689   , 0.487602   , -0.386219   , 2.596004   , -2.609170   ]
q = 2.230000 , x = [3.252033   , 0.494766   , -0.388135   , 2.580843   , -2.589761   ]
q = 2.240000 , x = [3.225806   , 0.501815   , -0.390020   , 2.565927   , -2.570665   ]
q = 2.250000 , x = [3.200000   , 0.508750   , -0.391875   , 2.551250   , -2.551875   ]
q = 2.260000 , x = [3.174603   , 0.515575   , -0.393700   , 2.536806   , -2.533383   ]
q = 2.270000 , x = [3.149606   , 0.522293   , -0.395497   , 2.522589   , -2.515182   ]
q = 2.280000 , x = [3.125000   , 0.528906   , -0.397266   , 2.508594   , -2.497266   ]
q = 2.290000 , x = [3.100775   , 0.535417   , -0.399007   , 2.494816   , -2.479627   ]
q = 2.300000 , x = [3.076923   , 0.541827   , -0.400721   , 2.481250   , -2.462260   ]
q = 2.310000 , x = [3.053435   , 0.548139   , -0.402409   , 2.467891   , -2.445157   ]
q = 2.320000 , x = [3.030303   , 0.554356   , -0.404072   , 2.454735   , -2.428314   ]
q = 2.330000 , x = [3.007519   , 0.560479   , -0.405710   , 2.441776   , -2.411725   ]
q = 2.340000 , x = [2.985075   , 0.566511   , -0.407323   , 2.429011   , -2.395382   ]
q = 2.350000 , x = [2.962963   , 0.572454   , -0.408912   , 2.416435   , -2.379282   ]
q = 2.360000 , x = [2.941176   , 0.578309   , -0.410478   , 2.404044   , -2.363419   ]
q = 2.370000 , x = [2.919708   , 0.584078   , -0.412021   , 2.391834   , -2.347787   ]
